"","superkingdom","phylum","class","order","family","genus","species"
"species-Phocaeicola_vulgatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus"
"species-Bacteroides_uniformis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis"
"species-Bacteroides_thetaiotaomicron","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron"
"species-Faecalibacterium_prausnitzii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii"
"species-Roseburia_faecis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia faecis"
"species-Bacteroides_caccae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae"
"species-Enterocloster_clostridioformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster clostridioformis"
"species-Bacteroides_fragilis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis"
"species-Fusicatenibacter_saccharivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans"
"species-Flavonifractor_plautii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii"
"species-Dialister_invisus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister invisus"
"species-Ruminococcus_bicirculans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bicirculans"
"species-Blautia_sp._CAG-257","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia sp. CAG:257"
"species-_gnavus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] gnavus"
"species-Dorea_longicatena","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea longicatena"
"species-Anaerobutyricum_hallii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"species-Enterocloster_bolteae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster bolteae"
"species-Eubacterium_sp._CAG-38","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:38"
"species-Lacrimispora_saccharolytica","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora saccharolytica"
"species-Intestinimonas_butyriciproducens","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,"Intestinimonas","Intestinimonas butyriciproducens"
"species-Clostridiales_bacterium_1_7_47FAA","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,NA,"Clostridiales bacterium 1_7_47FAA"
"species-Anaerostipes_hadrus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus"
"species-Anaerotignum_lactatifermentans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum lactatifermentans"
"species-Ruthenibacterium_lactatiformans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans"
"species-Lawsonibacter_asaccharolyticus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","Lawsonibacter asaccharolyticus"
"species-Enterocloster_asparagiformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster asparagiformis"
"species-Clostridium_bolteae_CAG-59","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium bolteae CAG:59"
"species-_symbiosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] symbiosum"
"species-Anaerotruncus_colihominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis"
"species-Agathobaculum_butyriciproducens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum butyriciproducens"
"species-Escherichia_coli","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli"
"species-Eisenbergiella_massiliensis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella massiliensis"
"species-Enterocloster_citroniae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster citroniae"
"species-Bacteroides_stercoris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris"
"species-Monoglobus_pectinilyticus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","Monoglobus pectinilyticus"
"species-Alistipes_putredinis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis"
"species-Parabacteroides_distasonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis"
"species-Roseburia_hominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia hominis"
"species-Bifidobacterium_longum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum"
"species-_siraeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Eubacterium] siraeum"
"species-Parabacteroides_merdae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae"
"species-Roseburia_inulinivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia inulinivorans"
"species-Gordonibacter_pamelaeae","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae"
"species-Bacteroides_cellulosilyticus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus"
"species-Bacteroides_ovatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus"
"species-Blautia_wexlerae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia wexlerae"
"species-Bifidobacterium_adolescentis","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis"
"species-Firmicutes_bacterium_CAG-424","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:424"
"species-Lachnospira_eligens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira eligens"
"species-_leptum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Clostridium] leptum"
"species-Adlercreutzia_equolifaciens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens"
"species-Eggerthella_lenta","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta"
